cite	journal	year	times_cited	abstract	author_count	authors
Kim, Young-Choon & Mooweon Rhee. 2010. 'the Contingent Effect of Social Networks on Organizational Commitment: a Comparison of Instrumental and Expressive Ties in a Multinational High-technology Company.' Sociological Perspectives. 53:4 479-502.	Sociological Perspectives	2010	0	This article examines the relationship between social networks and organizational commitment in a globalized workplace. The authors find not only that organizational commitment is affected by the network properties of size, power connection, and national/ethnic composition but also that these network effects are contingent upon whether the content conveyed in the relationship is instrumental or expressive. Results demonstrate that organizational commitment is (1) positively associated with network size in instrumental ties but not in expressive ties, (2) positively associated with the power of network partners in instrumental ties but less so in expressive ties, and (3) positively associated with national/ethnic diversity in expressive ties but not in instrumental ties. Findings highlight the relational foundation of organizational commitment and suggest that social networks of employees, contingent upon specific content, present different opportunities to their level of commitment to the organization.	2	Young-Choon Kim; Mooweon Rhee
Hull, Brooks & Jody Lipford. 2010. 'Free Riding, Market Structure, and Church Member Donations in South Carolina.' Review of Religious Research. 52:2 172-187.	Review of Religious Research	2010	1	The research literature on factors influencing member donations to churches is extensive. This paper uses unique data from South Carolina Baptist congregations to confirm much of the research, particularly including the potential for free-riding by members, but also extends that research by exploring the differential effect on donations of competition among Baptist congregations and between Baptist and non-Baptist congregations. We employ hierarchical linear modeling, rarely used in religious research but particularly well suited to the data, some of which is by congregation and some of which is by county. Previous empirical and theoretical work offers contradictory conclusions. We review the theory, clarifying some issues. Our results confirm that free riding increases as congregations grow larger, an effect mitigated by the increasing level of services offered as congregations grow. Importantly competition between Baptist congregations reduces and competition with non-Baptist congregations increases per member donations.	2	Brooks B. Hull; Jody Lipford
Buchmann, Claudia, Dennis Condron & Vincent Roscigno. 2010. 'Shadow Education: Theory, Analysis and Future Directions a Rejoinder.' Social Forces. 89:2 483-490.	Social Forces	2010	1		3	Claudia Buchmann; Dennis J. Condron; Vincent J. Roscigno
Tubergen, Frank. 2010. 'Determinants of Second Language Proficiency Among Refugees in the Netherlands.' Social Forces. 89:2 515-534.	Social Forces	2010	1	Little is known about the language acquisition of refugees in Western countries. This study examines how pre- and post-migration characteristics of refugees are related to their second language proficiency. Data are from a survey of 3,500 refugees, who were born in Afghanistan, Iran, Iraq, former Yugoslavia and Somalia, and who resided in the Netherlands. The analysis shows that speaking and reading skills are better among refugees who received more pre-migration schooling, who migrated from a major city, and who arrived in the host country at a younger age. Post-migration characteristics are also important. Language skills are better among refugees who only lived in a refugee reception center for a short while, who completed an integration course, who received post-migration education, who intend to stay in the host country, and who have fewer health problems.	1	Frank Tubergen
Pudrovska, Tetyana. 2010. 'Why Is Cancer More Depressing for Men Than Women Among Older White Adults?.' Social Forces. 89:2 535-558.	Social Forces	2010	0	Using data from two waves of the Wisconsin Longitudinal Study (N = 8,054), I examine gender differences in psychological adjustment to cancer among older white adults. Results from different types of longitudinal models reveal that cancer has more adverse psychological implications for men than women. Men's higher levels of depression are reduced after adjustment for adherence to masculinity ideals of strength, independence and invincibility. Cancer poses a threat to the masculine identity because it entails lack of control over one's body and other consequences incompatible with traditional masculinity. This study contributes to sociological knowledge of the ways in which gender shapes psychological resilience and vulnerability to cancer through meanings people attach to gender roles.	1	Tetyana Pudrovska
Rude, Jesse & Daniel Herda. 2010. 'Best Friends Forever? Race and the Stability of Adolescent Friendships.' Social Forces. 89:2 585-607.	Social Forces	2010	4	Our research uses two waves of data from the National Longitudinal Study of Adolescent Health to analyze the stability of same- and cross-race friendships. We find the following: First, interracial friendships are less stable than same-race friendships, even after controlling for a variety of contextual and dyadic characteristics, such as school racial composition and friends' similarities in attitudes and behaviors. Second, measures of dyadic similarity (aside from race) are weak predictors of friendship stability. Third, measures of reciprocity and closeness are strong predictors of friendship stability and appear to dampen the effects of racial difference. These results indicate that race is of continuing significance in structuring the social lives of American adolescents. They call into question the assumption that the factors that drive friendship formation also drive friendship stability. And, they suggest that more attention should be paid to the quality of interracial friendships, as measured by degree of reciprocity and closeness.	2	Jesse Rude; Daniel Herda
Smangs, Mattias. 2010. 'Delinquency, Social Skills and the Structure of Peer Relations: Assessing Criminological Theories by Social Network Theory.' Social Forces. 89:2 609-631.	Social Forces	2010	1	This article explores the plausibility of the conflicting theoretical assumptions underlying the main criminological perspectives on juvenile delinquents, their peer relations and social skills: the social ability model, represented by Sutherland's theory of differential associations, and the social disability model, represented by Hirschi's control theory. It does so by applying the principles associated with Granovetter's theory of strong and weak ties, drawing out its theoretical implications for the criminological theories and deriving a number of hypotheses. The article uses ``strategic research materials'' in the form of a data set strongly biased towards the social disability model and containing information on co-offending relations among a population (N = 580) of juveniles in a Swedish town during a three-year period. Results from cross-sectional empirical analyses using, among other things, the Quadratic Assignment Procedure, clearly support the social ability model. The robustness of the initial analyses is checked through longitudinal analyses applying actor-oriented statistical models for network evolution. The article's implications for criminological, as well as multidisciplinary, research are discussed.	1	Mattias Smangs
Dahl, Michael & Olav Sorenson. 2010. 'the Social Attachment to Place.' Social Forces. 89:2 633-658.	Social Forces	2010	7	Many theories either implicitly or explicitly assume that individuals readily move to places that improve their financial well-being. Other forces, however, offset these tendencies; for example, people often wish to remain close to family and friends. We introduce a methodology for determining how individuals weigh these countervailing forces, and estimate how both financial and social factors influence geographic mobility in the Danish population. Our results suggest that individuals respond to opportunities for higher pay elsewhere, but that their sensitivity to this factor pales in comparison to their preferences for living near family and friends.	2	Michael S. Dahl; Olav Sorenson
Hunter, Shona, Elaine Swan & Diane Grimes. 2010. 'Introduction: Reproducing and Resisting Whiteness in Organizations, Policies, and Places.' Social Politics. 17:4, SI 407-422.	Social Politics	2010	0		3	Shona Hunter; Elaine Swan; Diane Grimes
Michel, Noemi & Manuela Honegger. 2010. 'Thinking Whiteness in French and Swiss Cyberspaces.' Social Politics. 17:4, SI 423-449.	Social Politics	2010	0	Despite their insistence on the common European colonial roots of whiteness, critical whiteness studies tend to focus on Anglophone contexts. This article explores the theoretical and analytical potential of deploying the concept of whiteness in other spaces, namely French and Swiss cyberspaces. First, we define whiteness as a ``white vanguard narrative'' which generates a discursive border distinguishing subjectivities or practices, and which changes across time and space. Second, we explore the discursive operation of whiteness in two cyber-debates hosted by a French blog and a Swiss blog. This comparative micropolitical analysis of discursive spaces-marked by very different colonial legacies-reveals the fluidity and heterogeneity of the marking processes through which racialized power relations continue to be disseminated in postcolonial Europe.	2	Noemi Michel; Manuela Honegger
